Sample ID#,SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation (Given),FormationID (Given),Highest Prob Formation,Probability ,2nd Highest Prob Formation,Probability,Member (Given),Highest Prob Member ,Probability,2nd Highest Prob Member,Probability,Source,Reference
231,55.46,13.43,2.224,13.02,nan,nan,0.216,7.17,3.35,1.45,3.48,0.386,297,33,3,18,125,180,37,19,13.7,9,312,583,48,nan,nan,nan,nan,nan,GrandeRonde,3,Imnaha,0.99987827,Steens,0,Undifferentiated,RockCreek,1,LowerSteens,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
232,55.09,2.214,13.68,12.35,nan,nan,0.187,3.53,7.62,3.24,1.7,0.387,1,16,38,393,638,44,317,179,40,14.9,23,20,128,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.98065832,Wanapum,0.01930832,Undifferentiated,WapshillaRidge,0.48855095,WinterWater,0.17961541,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
233,55.53,13.35,2.286,12.94,nan,nan,0.21,7.15,3.39,1.45,3.47,0.39,315,31,2,18,133,183,39,23,14.9,0.4,308,614,49,nan,nan,nan,nan,nan,GrandeRonde,3,PictureGorge,0.99999634,Steens,0,Undifferentiated,Rogersburg,0.97042328,RockCreek,0.02114192,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
234,54.69,2.17,13.83,13.03,nan,nan,0.17,3.73,7.62,2.86,1.52,0.39,23,19,34,381,532,38,322,160,35,13.1,22,21,119,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.94587536,Wanapum,0.0538761,Undifferentiated,FrenchmanSprings,0.65710205,WinterWater,0.13873515,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
235,55.2,2.362,13.52,13.01,nan,nan,0.214,3.39,7.13,3.01,1.78,0.4,3,16,37,363,651,46,321,172,39,15.2,21,6,128,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.97992432,Wanapum,0.01990151,Undifferentiated,WinterWater,0.70048285,WapshillaRidge,0.20351312,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
236,56.61,2.27,14.01,10.96,nan,nan,0.22,3.4,7.08,3.14,1.92,0.4,45,12,32,334,846,58,364,180,37,14.6,21,14,121,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.9998981,Steens,0,Undifferentiated,WinterWater,0.88038017,WapshillaRidge,0.06141277,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
237,56.06,2.221,13.95,11.82,nan,nan,0.188,3.34,6.93,3.15,1.93,0.401,0.5,15,34,336,691,52,348,180,37,12.7,24,1,125,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.98813885,Wanapum,0.01168668,Undifferentiated,WinterWater,0.83026556,WapshillaRidge,0.11205778,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
238,54.72,2.32,13.68,12.55,nan,nan,0.199,3.62,7.36,3.16,1.99,0.402,6,18,34,432,678,42,321,174,36,12.1,19,6,129,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.94569205,Wanapum,0.05427567,Undifferentiated,WapshillaRidge,0.83297656,FrenchmanSprings,0.10463697,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
239,55.55,2.388,13.71,12.52,nan,nan,0.21,3.3,7.13,3.18,1.61,0.402,1,16,41,365,629,36,325,175,41,15.9,24,10,127,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99440026,Steens,0,Undifferentiated,WapshillaRidge,0.53979659,WinterWater,0.40365279,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
240,54.78,2.126,13.81,13.35,nan,nan,0.219,3.27,7.29,3.23,1.51,0.402,15,35,39,364,607,38,320,173,39,12.9,22,49,118,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.98005195,Wanapum,0.01987693,Undifferentiated,WapshillaRidge,0.37553558,HoskinGulch,0.31655656,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
241,54.84,2.25,13.67,12.94,nan,nan,0.192,3.66,7.15,3.31,1.58,0.403,4,17,38,374,648,37,310,181,42,16.1,22,24,130,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.98762894,Wanapum,0.01230289,Undifferentiated,WapshillaRidge,0.63601919,WinterWater,0.16807747,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
242,56.31,2.197,13.85,12.02,nan,nan,0.164,3.08,6.36,3.72,1.89,0.406,0.5,17,37,339,689,60,343,184,36,13.1,22,5,124,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99986973,Steens,0,Undifferentiated,WapshillaRidge,0.90001971,WinterWater,0.05902046,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
243,55.01,2.25,13.6,12.37,nan,nan,0.201,3.55,7.38,3.42,1.81,0.407,2,16,40,379,624,42,309,178,38,12.3,21,17,126,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.98346825,Wanapum,0.01651366,Undifferentiated,WapshillaRidge,0.84090823,WinterWater,0.08541968,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
244,55.1,2.11,13.97,12.12,nan,nan,0.2,4.01,7.32,3.21,1.54,0.41,10,16,35,380,591,40,301,170,39,15.7,23,45,120,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.97785322,Wanapum,0.02175277,Undifferentiated,WapshillaRidge,0.37232761,GrouseCreek,0.26594686,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
245,54.65,2.203,13.65,12.91,nan,nan,0.199,3.64,7.67,3.06,1.59,0.413,2,21,35,372,591,45,315,178,43,15.7,23,43,131,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.85511892,Wanapum,0.14460467,Undifferentiated,BirchCreek,0.3198744,FrenchmanSprings,0.30130294,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
246,54.86,2.338,13.91,12.03,nan,nan,0.202,3.5,7.51,3.23,2.01,0.413,5,20,44,424,652,43,331,177,40,13.7,23,6,130,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.93228139,Wanapum,0.06769838,Undifferentiated,WapshillaRidge,0.61619903,WinterWater,0.30013664,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
247,54.39,1.935,13.92,12.18,nan,nan,0.202,4.28,8.41,2.97,1.31,0.413,4,38,34,271,485,30,317,168,38,12.3,23,15,121,nan,nan,nan,nan,nan,GrandeRonde,3,Wanapum,0.49426652,GrandeRonde,0.49410946,Undifferentiated,SentinelBluffs,0.94684702,EcklerMountain,0.03258846,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
248,55.4,2.307,13.85,11.82,nan,nan,0.2,3.56,7.29,3.26,1.89,0.414,5,18,40,370,899,44,328,184,40,12.9,23,23,132,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99866929,Steens,0,Undifferentiated,WapshillaRidge,0.81600385,WinterWater,0.12869708,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
249,54.5,2.205,13.66,12.51,nan,nan,0.206,3.94,7.6,3.37,1.59,0.415,3,22,44,370,592,41,308,175,36,14,22,36,127,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.91488582,Wanapum,0.08495298,Undifferentiated,WapshillaRidge,0.4666851,SentinelBluffs,0.34536816,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
250,54.56,1.891,14.14,12.2,nan,nan,0.198,4.17,8.36,2.75,1.32,0.416,5,41,39,243,496,31,317,163,38,15.2,24,24,116,nan,nan,nan,nan,nan,GrandeRonde,3,Wanapum,0.47090925,GrandeRonde,0.44861124,Undifferentiated,SentinelBluffs,0.53606766,EcklerMountain,0.43103244,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
251,55.19,2.23,13.82,12.59,nan,nan,0.214,3.48,7.23,3.29,1.54,0.417,5,20,38,376,635,41,309,176,35,12.9,20,49,136,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99191965,Steens,0,Undifferentiated,WapshillaRidge,0.89264878,GrouseCreek,0.04363913,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
252,54.43,2.194,13.8,12.29,nan,nan,0.204,3.88,7.68,3.53,1.57,0.419,4,18,45,378,593,38,320,179,39,14.9,21,41,126,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.91638199,Wanapum,0.08341073,Undifferentiated,WapshillaRidge,0.53653881,SentinelBluffs,0.22154771,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
253,54.21,2.202,13.7,13.18,nan,nan,0.179,3.77,7.55,3.22,1.57,0.42,3,20,46,362,598,44,324,180,41,14.3,21,39,126,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.87718998,Wanapum,0.12269634,Undifferentiated,SentinelBluffs,0.44223184,WapshillaRidge,0.17456673,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
254,54.45,2.215,13.78,12.39,nan,nan,0.197,3.82,7.73,3.23,1.76,0.42,8,21,39,367,602,40,321,180,38,12.3,22,49,134,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.92781712,Wanapum,0.0709554,Undifferentiated,WapshillaRidge,0.41704894,SentinelBluffs,0.34739024,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
255,53.63,2.18,14,12.54,nan,nan,0.22,4.25,8.37,3.38,1.01,0.42,30,18,37,418,500,15,319,183,43,15.3,23,115,118,nan,nan,nan,nan,nan,GrandeRonde,3,Wanapum,0.79741771,GrandeRonde,0.17037479,Undifferentiated,BuckhornSprings,0.93216047,PictureGorge,0.03774316,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
256,54.61,2.239,13.91,12.2,nan,nan,0.214,3.77,7.68,3.17,1.79,0.422,4,21,46,368,737,48,324,180,41,13.4,20,43,131,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.96535343,Wanapum,0.03458859,Undifferentiated,SentinelBluffs,0.54507947,WapshillaRidge,0.33271615,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
257,55.51,2.323,13.87,12.22,nan,nan,0.19,3.32,6.98,3.13,2.03,0.424,0.5,13,38,337,765,49,332,203,42,15,25,3,132,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99259449,Steens,0,Undifferentiated,WinterWater,0.87809921,WapshillaRidge,0.09699277,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
258,55.01,2.11,13.65,12.43,nan,nan,0.21,3.75,7.51,3.15,1.75,0.43,45,11,37,387,613,36,319,181,40,13.9,21,60,128,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.94992269,Wanapum,0.04825089,Undifferentiated,DowneyGulch,0.35558621,SentinelBluffs,0.14836203,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
259,56.34,2.323,13.9,11.54,nan,nan,0.177,3.09,6.78,3.29,2.15,0.435,0.5,14,34,325,814,62,332,205,44,15.3,26,2,133,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99504015,Steens,0,Undifferentiated,WinterWater,0.85308755,WapshillaRidge,0.11669106,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
260,54.15,2.563,13.74,12.82,nan,nan,0.171,4.01,6.94,3.48,1.68,0.436,9,20,37,431,632,43,314,187,39,14.1,20,19,131,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.955586,Wanapum,0.0441893,Undifferentiated,WapshillaRidge,0.96554553,FrenchmanSprings,0.03234675,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
261,55.14,2.241,13.75,12.4,nan,nan,0.203,3.62,7.39,3.24,1.57,0.438,25,35,36,369,652,32,331,175,37,15.6,18,27,122,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.9448638,Wanapum,0.05481821,Undifferentiated,WapshillaRidge,0.66351589,FrenchmanSprings,0.18429767,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
262,54.05,2.564,13.73,12.83,nan,nan,0.171,3.96,6.96,3.6,1.69,0.439,7,18,43,439,636,45,315,187,38,14,25,18,130,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.95510953,Wanapum,0.04477576,Undifferentiated,WapshillaRidge,0.97759712,FrenchmanSprings,0.0199154,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
263,54.81,2.18,13.88,12.16,nan,nan,0.24,3.96,7.35,3.49,1.48,0.44,21,19,37,331,606,31,347,186,39,14.9,23,66,119,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.97269681,Wanapum,0.02372677,Undifferentiated,BuckhornSprings,0.81080677,Rogersburg,0.0441142,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
264,55.24,2.595,14.06,11.68,nan,nan,0.174,3.38,7.53,3.21,1.7,0.44,6,17,34,409,677,41,329,192,43,15.1,25,25,138,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.98255873,Wanapum,0.01735184,Undifferentiated,WapshillaRidge,0.88394211,FrenchmanSprings,0.10184347,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
265,54.31,2.515,13.61,13.06,nan,nan,0.232,3.56,7.22,3.41,1.65,0.441,2,18,40,409,659,39,320,190,41,13.3,22,14,129,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.92670949,Wanapum,0.07328494,Undifferentiated,WapshillaRidge,0.95404956,FrenchmanSprings,0.03430261,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
266,57.3,2.368,14.11,9.93,nan,nan,0.193,3.24,6.97,3.11,2.34,0.441,2,13,34,314,965,56,345,207,41,14.1,24,3,135,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99986008,Steens,0,Undifferentiated,WinterWater,0.76356937,Ortley,0.16097763,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
267,57.3,2.46,14.68,11.73,nan,nan,0.107,2.14,5.61,3.74,1.79,0.441,10,20,41,353,729,58,331,194,40,17.5,24,33,143,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99984361,Steens,0,Undifferentiated,WapshillaRidge,0.97383175,HoskinGulch,0.0121028,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
268,54.53,2.311,13.66,12.84,nan,nan,0.194,3.53,7.5,3.39,1.61,0.442,7,16,40,379,635,36,324,182,40,16,23,22,123,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.8577911,Wanapum,0.14204382,Undifferentiated,WapshillaRidge,0.59273121,FrenchmanSprings,0.26738971,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
269,54.4,2.511,13.68,12.57,nan,nan,0.208,3.61,7.26,3.5,1.81,0.445,7,15,44,416,681,43,316,193,41,14.8,23,19,135,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.95391476,Wanapum,0.04605976,Undifferentiated,WapshillaRidge,0.95693869,FrenchmanSprings,0.02133938,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
270,55.36,2.26,13.74,12.55,nan,nan,0.199,3.53,7.28,3.05,1.58,0.448,18,30,36,371,646,46,321,176,41,16.6,23,29,121,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.93058334,Wanapum,0.06924446,Undifferentiated,WapshillaRidge,0.4151345,FrenchmanSprings,0.40072369,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
271,57.15,2.426,14.48,9.63,nan,nan,0.26,3.16,6.87,3.19,2.39,0.448,0.5,12,28,331,780,58,340,209,41,16,25,4,137,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99986771,Steens,0,Undifferentiated,WapshillaRidge,0.94662851,Ortley,0.01955374,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
272,54.39,2.294,13.62,12.8,nan,nan,0.186,3.66,7.27,3.71,1.63,0.45,9,14,42,379,648,42,312,181,40,15.7,23,27,126,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.90587679,Wanapum,0.09376631,Undifferentiated,WapshillaRidge,0.9354085,FrenchmanSprings,0.02143537,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
273,54.4,2.26,13.78,12.75,nan,nan,0.22,3.94,7.65,3.14,1.41,0.45,30,21,35,385,557,29,329,161,36,12.6,22,28,124,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.6244268,Wanapum,0.37530469,Undifferentiated,FrenchmanSprings,0.47038646,WapshillaRidge,0.43381256,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
274,54.66,2.511,13.76,12.33,nan,nan,0.197,3.52,7.25,3.54,1.78,0.452,5,15,37,394,706,40,324,195,42,13.8,21,22,132,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.97263539,Wanapum,0.02724761,Undifferentiated,WapshillaRidge,0.9879812,LowerSteens,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
275,54.59,2.28,13.81,12.38,nan,nan,0.218,3.88,7.82,3.18,1.4,0.453,13,40,41,383,606,35,341,161,39,12.6,25,16,122,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.52953142,Wanapum,0.47045494,Undifferentiated,FrenchmanSprings,0.64388043,WapshillaRidge,0.28208507,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
276,54.51,2.517,13.71,12.61,nan,nan,0.183,3.62,7.03,3.62,1.74,0.456,6,18,38,396,676,45,315,190,41,13.6,22,12,133,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.94420506,Wanapum,0.05572879,Undifferentiated,WapshillaRidge,0.98342973,FrenchmanSprings,0.01035118,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
277,54.79,2.356,13.67,12.98,nan,nan,0.206,3.38,7.01,3.31,1.83,0.457,0.5,12,38,376,681,47,327,197,42,15.1,23,4,133,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.83359388,Wanapum,0.16636762,Undifferentiated,WapshillaRidge,0.625897,WinterWater,0.29567682,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
278,54.84,2.341,13.59,13.41,nan,nan,0.196,3.2,6.85,3.22,1.9,0.459,0.5,13,34,355,724,53,324,199,42,15.1,21,7,134,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.9379923,Wanapum,0.0619645,Undifferentiated,WapshillaRidge,0.77095805,WinterWater,0.18779545,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
279,54.62,2.291,13.96,12.57,nan,nan,0.19,3.59,7.49,3.45,1.39,0.462,13,41,39,379,582,33,340,160,38,12.9,20,20,122,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.71761558,Wanapum,0.28235108,Undifferentiated,WapshillaRidge,0.9027985,FrenchmanSprings,0.0825895,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
